PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic  	Electron.	Nuclear  	Total    	CSDA     	Projected	Detour	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Range    	Range    	Factor	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	g/cm2    	g/cm2    	      	

9.000E+02	2.041E+00	3.057E-04	2.041E+00	3.111E+02	3.107E+02	0.9987	
9.500E+02	2.015E+00	2.905E-04	2.015E+00	3.358E+02	3.354E+02	0.9987	
1.000E+03	1.992E+00	2.767E-04	1.992E+00	3.607E+02	3.603E+02	0.9988	
1.500E+03	1.864E+00	1.887E-04	1.864E+00	6.218E+02	6.211E+02	0.9989	
2.000E+03	1.821E+00	1.439E-04	1.821E+00	8.938E+02	8.929E+02	0.9991	
2.500E+03	1.807E+00	1.167E-04	1.807E+00	1.170E+03	1.169E+03	0.9992	
3.000E+03	1.807E+00	9.832E-05	1.807E+00	1.446E+03	1.445E+03	0.9992	
4.000E+03	1.822E+00	7.506E-05	1.822E+00	1.998E+03	1.997E+03	0.9993	
5.000E+03	1.843E+00	6.090E-05	1.843E+00	2.544E+03	2.542E+03	0.9994	
6.000E+03	1.864E+00	5.134E-05	1.864E+00	3.083E+03	3.082E+03	0.9995	
7.000E+03	1.886E+00	4.445E-05	1.886E+00	3.617E+03	3.615E+03	0.9995	
8.000E+03	1.905E+00	3.923E-05	1.905E+00	4.144E+03	4.142E+03	0.9995	
9.000E+03	1.924E+00	3.513E-05	1.924E+00	4.666E+03	4.664E+03	0.9996	
1.000E+04	1.941E+00	3.184E-05	1.941E+00	5.184E+03	5.182E+03	0.9996
